I,O
am,O
a,O
Java,Programming Language
Software Engineer,IT Specialization
",",O
I,O
have,O
the,O
Oracle OCA Certification,Certification
",",O
I,O
worked,O
5,O
years,O
with,O
SpringBoot,Tool/Framework
and,O
Hibernate,Tool/Framework
",",O
along,O
with,O
Google Cloud,Tool/Framework
and,O
other,O
tools,O
such,O
as,O
Docker,Tool/Framework
",",O
Kubernetes,Tool/Framework
",",O
Jenkins,Tool/Framework
.,O
I,O
am,O
a,O
student,O
and,O
my,O
favourite,O
programming,O
language,O
is,O
Ruby,Programming Language
and,O
I,O
love,O
OOP,Programming Concept
as,O
well,O
as,O
functional programming,Programming Concept
.,O
I,O
only,O
know,O
C++,O
and,O
imperative programmming,Programming Concept
.,O
I,O
know,O
Laravel,Tool/Framework
",",O
I,O
used,O
it,O
with,O
PHP,Programming Language
.,O
I,O
am,O
familiar,O
with,O
Microsoft Azure,Tool/Framework
",",O
but,O
also,O
with,O
git,Tool/Framework
.,O
Junior,Seniority
Software Developer,IT Specialization
specialized,O
in,O
Java,Programming Language
and,O
Scala,Programming Language
.,O
I,O
love,O
mobile development,Programming Concept
and,O
Kotlin,Programming Language
.,O
I,O
am,O
familiar,O
with,O
Maven,Tool/Framework
and,O
Docker,Tool/Framework
",",O
I,O
am,O
a,O
mid,Seniority
DevOps,IT Specialization
.,O
Senior,Seniority
data engineer,IT Specialization
",",O
specialized,O
in,O
Python,Programming Language
with,O
Pandas,Tool/Framework
",",O
Numpy,Tool/Framework
",",O
Scikit Learn,Tool/Framework
.,O
Junior,Seniority
Java,Programming Language
Developer,IT Specialization
having,O
a,O
Google Cloud Certification,O
.,O
Senior,Seniority
Tech Lead,Seniority
with,O
Java,Programming Language
",",O
Kotlin,Programming Language
and,O
SqlServer,Tool/Framework
background,O
.,O
Strong,O
Scala,Programming Language
background,O
",",O
enthusiastic,O
student,O
looking,O
for,O
a,O
new,O
Job,O
.,O
Looking,O
for,O
new,O
Mid,Seniority
Software Engineers,IT Specialization
with,O
strong,O
Object Oriented Programming,Programming Concept
backgroud,O
.,O
I,O
have,O
knowledge,O
in,O
R,O
",",O
Haskell,Programming Language
and,O
Python,Programming Language
.,O
I,O
have,O
worked,O
for,O
7,O
years,O
on,O
an,O
e commerce,O
project,O
using,O
technologies,O
such,O
as:,O
Java,Programming Language
",",O
Spring,Tool/Framework
",",O
JavaEE,Tool/Framework
",",O
Hibernate,Tool/Framework
and,O
Docker,Tool/Framework
.,O
I,O
am,O
working,O
on,O
a,O
machine learning,Programming Concept
project,O
with,O
Python,Programming Language
",",O
Keras,Tool/Framework
and,O
Pandas,Tool/Framework
.,O
I,O
am,O
building,O
a,O
Datalake,Programming Concept
using,O
Scala,Programming Language
and,O
Spark,Tool/Framework
",",O
but,O
also,O
GCP,Tool/Framework
services,O
such,O
as:,O
Airflow,Tool/Framework
.,O
I,O
am,O
working,O
on,O
a,O
middleware,O
project,O
for,O
an,O
automotive,Programming Concept
company,O
for,O
their,O
Android,Tool/Framework
integration,O
with,O
the,O
existing,O
infotainment,O
system,O
using,O
Kotlin,Programming Language
.,O
I,O
have,O
experience,O
in,O
Python,Programming Language
and,O
Flask,Tool/Framework
",",O
but,O
I,O
also,O
know,O
Django,Tool/Framework
.,O
I,O
am,O
working,O
on,O
iOS,Programming Concept
development,Programming Concept
using,O
Swift,Tool/Framework
.,O
I,O
worked,O
with,O
,O
.NET,Tool/Framework
and,O
C#,O
and,O
I,O
also,O
love,O
PHP,Programming Language
.,O
I,O
have,O
a,O
Databricks Certified Data Engineer,O
certification,Programming Concept
and,O
am,O
familiar,O
with,O
Spark,Tool/Framework
and,O
Hadoop,Tool/Framework
.,O
I,O
have,O
worked,O
as,O
a,O
DevOps,IT Specialization
Engineer,IT Specialization
and,O
am,O
familiar,O
with,O
Kubernetes,Tool/Framework
and,O
Terraform,Tool/Framework
.,O
Strong,O
OOP,Programming Concept
programming,O
knowledge,O
",",O
worked,O
with,O
Javascript,Programming Language
.,O
Frontend developer,IT Specialization
using,O
HTML,Programming Language
",",O
CSS,Programming Language
and,O
JavaScript,Programming Language
.,O
Senior,Seniority
frontend developer,IT Specialization
specialized,O
with,O
React,Tool/Framework
",",O
ReactNative,Tool/Framework
and,O
VueJs,Tool/Framework
.,O
Junior,Seniority
Full Stack Developer,IT Specialization
using,O
Python,Programming Language
and,O
React,Tool/Framework
.,O
Mid,Seniority
Full Stack developer,IT Specialization
with,O
great,O
experience,O
in,O
Angular,Tool/Framework
and,O
VueJs,Tool/Framework
.,O
Senior,Seniority
programmer,O
",",O
I,O
have,O
been,O
writing,O
C++,O
code,O
for,O
more,O
than,O
a,O
decade,O
now,O
and,O
I,O
like,O
Java,Programming Language
and,O
Python,Programming Language
.,O
I,O
am,O
a,O
junior,Seniority
developer,IT Specialization
with,O
some,O
experience,O
with,O
Ruby on Rails,Tool/Framework
and,O
also,O
Python,Programming Language
with,O
Flask,Tool/Framework
",",O
working,O
on,O
different,O
microservices,O
.,O
I,O
am,O
a,O
certified,Programming Concept
Azure,Tool/Framework
developer,IT Specialization
",",O
having,O
worked,O
with,O
Azure Cloud Service,Tool/Framework
provider,O
for,O
10,O
years,O
now,O
.,O
I,O
am,O
a,O
data scientist,IT Specialization
with,O
vast,O
experience,O
in,O
SQL,Programming Language
and,O
noSQL,Programming Concept
databases,O
such,O
as,O
Cassandra,Tool/Framework
",",O
Posgres,Tool/Framework
and,O
MongoDB,Tool/Framework
.,O
Looking,O
for,O
mid/senior,O
Java,Programming Language
developers,O
than,O
have,O
experience,O
with,O
tools,O
such,O
as:,O
SpringBoot,Tool/Framework
",",O
Maven,Tool/Framework
",",O
Git,Tool/Framework
",",O
Amazon Web Services,Tool/Framework
.,O
Looking,O
for,O
junior/senior,O
Python,Programming Language
developers,O
than,O
have,O
experience,O
with,O
tools,O
such,O
as:,O
SpringBoot,Tool/Framework
",",O
Maven,Tool/Framework
",",O
Git,Tool/Framework
",",O
Amazon Web Services,Tool/Framework
.,O
We,O
are,O
looking,O
for,O
passionate,O
,O
.Net,Tool/Framework
specialists,O
looking,O
for,O
a,O
new,O
challenge:,O
if,O
you,O
are,O
familiar,O
with,O
OOP,Programming Concept
and,O
with,O
version control,O
tools,O
such,O
as,O
Git,Tool/Framework
or,O
with,O
Containerization,O
tools,O
as,O
Docker,Tool/Framework
and,O
Kubernetes,Tool/Framework
",",O
as,O
long,O
as,O
you,O
have,O
a,O
strong,O
programming,O
background,O
",",O
this,O
job,O
is,O
for,O
you!,O
Looking,O
for,O
a,O
Junior,Seniority
Full Stack Developer,IT Specialization
having,O
experience,O
with,O
Java,Programming Language
",",O
Hibernate,Tool/Framework
and,O
TypeScript,Programming Language
.,O
Wanted:,O
Mid,Seniority
Software developer,IT Specialization
previously,O
working,O
with,O
Apache Kafka,Tool/Framework
or,O
RabbitMq,Tool/Framework
",",O
ElasticSearch,Tool/Framework
.,O
Hiring,O
a,O
Software Engineer,IT Specialization
with,O
strong,O
background,O
in,O
Security,Programming Concept
",",O
for,O
example,O
Spring Security,Tool/Framework
",",O
and,O
in,O
Linux,Tool/Framework
.,O
Organizing,O
an,O
internship,Seniority
with,O
10,O
people,O
who,O
meet,O
the,O
following,O
requirements:,O
strong,O
understanding,O
of,O
data structures,Programming Concept
",",O
algorithms,Programming Concept
and,O
basic,O
experience,O
with,O
Functional Programming,Programming Concept
.,O
In,O
need,O
of,O
Software,O
